M,messiernum,NGC,TYPE,CONS,RA,DEC,MAG,DIST (ly),distpc,l,b
M1,1,NGC 1952 Crab Nebula,Supernova Remnant,Taurus,5h 34.5m,22°1,8.4,6300,1931.59,184.567173,-5.776658
M2,2,NGC 7089,Globular Cluster,Aquarius,21h 33.5m,-0°49,6.5,37500,11497.57,53.370738,-35.769712
M3,3,NGC 5272,Globular Cluster,Canes Venatici,13h 42.2m,28°23,6.2,33900,10393.8,42.207851,78.708428
M4,4,NGC 6121,Globular Cluster,Scorpius,16h 23.6m,-26°32,5.6,7200,2207.53,350.973547,15.971891
M5,5,NGC 5904,Globular Cluster,Serpens Caput,15h 18.6m,2°5,5.6,24500,7511.74,3.862575,46.795729
M6,6,NGC 6405 Butterfly Cluster,Open Cluster,Scorpius,17h 40.1m,-32°13,5.3,2000,613.2,356.58093,-0.7793
M7,7,NGC 6475 Ptolemy¬πs Cluster,Open Cluster,Scorpius,17h 53.9m,-34°49,4.1,800,245.28,355.86138,-4.50079
M8,8,NGC 6523 Lagoon Nebula,Diffuse Nebula,Sagittarius,18h 3.8m,-24°23,6,5200,1594.33,5.97109,-1.17751
M9,9,NGC 6333,Globular Cluster,Ophiucus,17h 19.2m,-18°31,7.7,26700,8186.27,5.544367,10.705218
M10,10,NGC 6254,Globular Cluster,Ophiucus,16h 57.1m,-4°6,6.6,14400,4415.07,15.137765,23.07678
M11,11,NGC 6705 Wild Duck Cluster,Open Cluster,Scutum,18h 51.1m,-6°16,6.3,6000,1839.61,27.30881,-2.77955
M12,12,NGC 6218,Globular Cluster,Ophiucus,16h 47.2m,-1°57,6.7,16000,4905.63,15.716637,26.312529
M13,13,NGC 6205 Hercules Globular Cluster,Globular Cluster,Hercules,16h 41.7m,36°28,5.8,22800,6990.52,59.007914,40.912359
M14,14,NGC 6402,Globular Cluster,Ophiucus,17h 37.6m,-3°15,7.6,27400,8400.89,21.323816,14.804496
M15,15,NGC 7078,Globular Cluster,Pegasus,21h 30m,12°10,6.2,33600,10301.82,65.012586,-27.312821
M16,16,NGC 6611 Eagle Nebula Cluster,Open Cluster,Serpens Claudia,18h 18.8m,-13°47,6.4,7000,2146.21,16.95382,0.79258
M17,17,"NGC 6618 Omega, Swan, Horseshoe Nebula",Diffuse Nebula,Sagittarius,18h 20.8m,-16°11,7,5000,1533.01,15.09552,-0.74559
M18,18,NGC 6613,Open Cluster,Sagittarius,18h 19.9m,-17°8,7.5,4900,1502.35,14.18334,-1.013
M19,19,NGC 6273,Globular Cluster,Ophiucus,17h 2.6m,-26°16,6.8,27100,8308.91,356.868596,9.382764
M20,20,NGC 6514 Trifid Nebula,Diffuse Nebula,Sagittarius,18h 2.3m,-23°2,9,5200,1594.33,7.08585,-0.28772
M21,21,NGC 6531,Open Cluster,Sagittarius,18h 4.6m,-22°30,6.5,4250,1303.06,7.67806,-0.35621
M22,22,NGC 6656,Globular Cluster,Sagittarius,18h 36.4m,-23°54,5.1,10100,3096.68,9.893881,-7.551867
M23,23,NGC 6494,Open Cluster,Sagittarius,17h 56.8m,-19°1,6.9,2150,659.19,9.8948,2.83153
M24,24,NGC 6603 Milky Way Patch,Star Cloud,Sagittarius,18h 18.4m,-18°25,4.6,10000,3066.02,12.5963,-1.0442
M25,25,IC 4725,Open Cluster,Sagittarius,18h 31.7m,-19°14,6.5,2000,613.2,13.70344,-4.43192
M26,26,NGC 6694,Open Cluster,Scutum,18h 45.2m,-9°24,8,5000,1533.01,23.87954,-2.91601
M27,27,NGC 6853 Dumbbell Nebula,Planetary Nebula,Vulpecula,19h 59.6m,22°43,7.4,1250,383.25,60.835728,-3.695971
M28,28,NGC 6626,Globular Cluster,Sagittarius,18h 24.5m,-24°52,6.8,17900,5488.17,7.798148,-5.580604
M29,29,NGC 6913,Open Cluster,Cygnus,20h 23.9m,38°32,7.1,4000,1226.41,76.90597,0.59121
M30,30,NGC 7099,Globular Cluster,Capricornus,21h 40.4m,-23°11,7.2,24800,7603.72,27.180048,-46.834892
M31,31,NGC 224 Andromeda Galaxy,Spiral Galaxy,Andromeda,0h 42.7m,41°16,3.4,2900000,889145.07,121.1743170-21.5729606,
M32,32,NGC 221 Satellite of M31,Elliptical Galaxy,Andromeda,0h 42.7m,40°52,8.1,2900000,889145.07,121.150061,-21.97706
M33,33,NGC 598 Triangulum/Pinwheel Galaxy,Spiral Galaxy,Triangulum,1h 33.9m,30°39,5.7,3000000,919805.25,133.610179,-31.330623
M34,34,NGC 1039,Open Cluster,Perseus,2h 42m,42°47,5.5,1400,429.24,143.6718,-15.6241
M35,35,NGC 2168,Open Cluster,Gemini,6h 8.9m,24°20,5.3,2800,858.48,186.577,2.2163
M36,36,NGC 1960,Open Cluster,Auriga,5h 36.1m,34°8,6.3,4100,1257.07,174.53343,1.07172
M37,37,NGC 2099,Open Cluster,Auriga,5h 52.4m,32°33,6.2,4400,1349.05,177.63635,3.09231
M38,38,NGC 1912,Open Cluster,Auriga,5h 28.7m,35°50,7.4,4200,1287.73,172.24875,0.70583
M39,39,NGC 7092,Open Cluster,Cygnus,21h 32.2m,48°26,5.2,825,252.95,92.4066,-2.239
M40,40,Winecke 4,Double Star,Ursa Major,12h 22.2m,58°5,9.3,510,156.37,130.33666,58.6225
M41,41,NGC 2287,Open Cluster,Canis Major,6h 47m,-20°44,4.6,2300,705.18,231.01552,-10.44722
M42,42,NGC 1976 Great Orion Nebula,Diffuse Nebula,Orion,5h 35.4m,-5°27,4,1600,490.56,209.010775,-19.384008
M43,43,NGC 1982 de Mairan¬πs Nebula,Diffuse Nebula,Orion,5h 35.6m,-5°16,9,1600,490.56,208.924713,-19.273641
M44,44,NGC 2632 Beehive Cluster (Praesepe),Open Cluster,Cancer,8h 40.1m,19°59,3.7,577,176.91,205.9107,32.4796
M45,45,"Pleiades, Subaru, Seven Sisters",Open Cluster,Taurus,3h 47m,24°7.2,1.6,380,116.51,166.6666,-23.4563
M46,46,NGC 2437,Open Cluster,Puppis,7h 41.8m,-14°49,6,5400,1655.65,231.85926,4.06734
M47,47,NGC 2422,Open Cluster,Puppis,7h 36.6m,-14°30,5.2,1600,490.56,230.95757,3.13072
M48,48,NGC 2548,Open Cluster,Hydra,8h 13.8m,-5°48,5.5,1500,459.9,227.87331,15.39338
M49,49,NGC 4472,Elliptical Galaxy,Virgo,12h 29.8m,8°0,8.4,60000000,18396104.93,286.922184,70.19604
M50,50,NGC 2323,Open Cluster,Monocerus,7h 3.2m,-8°20,6.3,3000,919.81,221.6791,-1.3333
M51,51,NGC 5194 Whirlpool Galaxy,Spiral Galaxy,Canes Venatici,13h 29.9m,47°12,8.4,37000000,11344264.71,104.857336,68.558403
M52,52,NGC 7654,Open Cluster,Cassiopeia,23h 24.2m,61°35,7.3,5000,1533.01,112.81956,0.43417
M53,53,NGC 5024,Globular Cluster,Coma Berenices,13h 12.9m,18°10,7.6,56400,17292.34,332.964972,79.765037
M54,54,NGC 6715,Globular Cluster,Sagittarius,18h 55.1m,-30°29,7.6,82800,25386.62,5.608179,-14.086348
M55,55,NGC 6809,Globular Cluster,Sagittarius,19h 40m,-30°58,6.3,16600,5089.59,8.794874,-23.269657
M56,56,NGC 6779,Globular Cluster,Lyra,19h 16.6m,30°11,8.3,31600,9688.62,62.660185,8.33714
M57,57,NGC 6720 Ring Nebula,Planetary Nebula,Lyra,18h 53.6m,33°2,8.8,4100,1257.07,63.169382,13.978233
M58,58,NGC 4579,Spiral Galaxy,Virgo,12h 37.7m,11°49,9.7,60000000,18396104.93,290.404631,74.357075
M59,59,NGC 4621,Elliptical Galaxy,Virgo,12h 42m,11°39,9.6,60000000,18396104.93,294.36723,74.36211
M60,60,NGC 4649,Elliptical Galaxy,Virgo,12h 43.7m,11°33,8.8,60000000,18396104.93,295.868335,74.317588
M61,61,NGC 4303,Spiral Galaxy,Virgo,12h 21.9m,4°28,9.7,60000000,18396104.93,284.3706957,66.275675
M62,62,NGC 6266,Globular Cluster,Ophiucus,17h 1.2m,-30°7,6.5,21500,6591.94,353.574551,7.31963
M63,63,NGC 5055 Sunflower Galaxy,Spiral Galaxy,Canes Venatici,13h 15.8m,42°2,8.6,37000000,11344264.71,105.99923,74.28675
M64,64,NGC 4826 Blackeye Galaxy,Spiral Galaxy,Coma Berenices,12h 56.7m,21°41,8.5,19000000,5825433.23,315.70778,84.42453
M65,65,NGC 3623,Spiral Galaxy,Leo,11h 18.9m,13°5,9.3,35000000,10731061.21,241.32628,64.21991
M66,66,NGC 3627,Spiral Galaxy,Leo,11h 20.2m,12°59,8.9,35000000,10731061.21,241.961107,64.41865
M67,67,NGC 2682,Open Cluster,Cancer,8h 50.4m,11°49,6.1,2700,827.82,215.6875,31.9092
M68,68,NGC 4590,Globular Cluster,Hydra,12h 39.5m,-26°45,7.8,33300,10209.84,299.625857,36.051888
M69,69,NGC 6637,Globular Cluster,Sagittarius,18h 31.4m,-32°21,7.6,26700,8186.27,1.723131,-10.269657
M70,70,NGC 6681,Globular Cluster,Sagittarius,18h 43.2m,-32°18,7.9,28000,8584.85,2.852901,-12.509314
M71,71,NGC 6838,Globular Cluster,Sagitta,19h 53.8m,18°47,8.3,11700,3587.24,56.744379,-4.563467
M72,72,NGC 6981,Globular Cluster,Aquarius,20h 53.5m,-12°32,9.3,52800,16188.57,35.16295,-32.683731
M73,73,NGC 6994 Group of 4 stars,Group/Asterism,Aquarius,20h 59m,-12°38,9,2000,613.2,35.7139,-33.9397
M74,74,NGC 628,Spiral Galaxy,Pisces,1h 36.7m,15°47,9.4,35000000,10731061.21,138.616758,-45.705752
M75,75,NGC 6864,Globular Cluster,Sagittarius,20h 6.1m,-21°55,8.5,57700,17690.92,20.304022,-25.74716
M76,76,"NGC 650 Little Dumbell, Cork, Butterfly Nebula",Planetary Nebula,Perseus,1h 42.3m,51°34,10.1,3400,1042.45,130.933616,-10.503814
M77,77,NGC 1068 Cetus A,Spiral Galaxy,Cetus,2h 42.7m,0°1,8.9,60000000,18396104.93,172.1037384-51.9337526,
M78,78,NGC 2068,Diffuse Nebula,Orion,5h 46.7m,0°3,8.3,1600,490.56,205.32869,-14.31172
M79,79,NGC 1904,Globular Cluster,Lepus,5h 24.5m,-24°33,7.7,41100,12601.33,227.229188,-29.351422
M80,80,NGC 6093,Globular Cluster,Scorpius,16h 17m,-22°59,7.3,27400,8400.89,352.674224,19.463465
M81,81,NGC 3031 Bode¬πs Galaxy,Spiral Galaxy,Ursa Major,9h 55.6m,69°4,6.9,12000000,3679220.99,142.0918406,40.9001409
M82,82,NGC 3034 Cigar Galaxy,Irregular Galaxy,Ursa Major,9h 55.8m,69°41,8.4,12000000,3679220.99,141.409718,40.566798
M83,83,NGC 5236 Southern Pinwheel Galaxy,Spiral Galaxy,Hydra,13h 37m,-29°52,7.6,15000000,4599026.23,314.582851,31.972326
M84,84,NGC 4374,Lenticular (S0) Galaxy,Virgo,12h 25.1m,12°53,9.1,60000000,18396104.93,278.204267,74.47864
M85,85,NGC 4382,Lenticular (S0) Galaxy,Coma Berenices,12h 25.4m,18°11,9.1,60000000,18396104.93,267.718899,79.23652
M86,86,NGC 4406,Lenticular (S0) Galaxy,Virgo,12h 26.2m,12°57,8.9,60000000,18396104.93,279.0822052,74.6369655
M87,87,NGC 4486 Virgo A,Elliptical Galaxy,Virgo,12h 30.8m,12°24,8.6,60000000,18396104.93,283.7777978,74.4911308
M88,88,NGC 4501,Spiral Galaxy,Coma Berenices,12h 32m,14°25,9.6,60000000,18396104.93,282.326843,76.506564
M89,89,NGC 4552,Elliptical Galaxy,Virgo,12h 35.7m,12°33,9.8,60000000,18396104.93,287.931917,74.9674
M90,90,NGC 4569,Spiral Galaxy,Virgo,12h 36.8m,13°10,9.5,60000000,18396104.93,288.467238,75.622737
M91,91,NGC 4548,Spiral Galaxy,Coma Berenices,12h 35.4m,14°30,10.2,60000000,18396104.93,285.691019,76.830011
M92,92,NGC 6341,Globular Cluster,Hercules,17h 17.1m,43°8,6.4,26400,8094.29,68.338995,34.859424
M93,93,NGC 2447,Open Cluster,Puppis,7h 44.6m,-23°52,6,3600,1103.77,240.0341,0.1339
M94,94,NGC 4736,Spiral Galaxy,Canes Venatici,12h 50.9m,41°7,8.2,14500000,4445725.36,123.3631,76.007401
M95,95,NGC 3351,Spiral Galaxy,Leo,10h 44m,11°42,9.7,38000000,11650866.46,233.95227,56.36908
M96,96,NGC 3368,Spiral Galaxy,Leo,10h 46.8m,11°49,9.2,38000000,11650866.46,234.435409,57.010427
M97,97,NGC 3587 Owl Nebula,Planetary Nebula,Ursa Major,11h 14.8m,55°1,9.9,2600,797.16,148.488682,57.04983
M98,98,NGC 4192,Spiral Galaxy,Coma Berenices,12h 13.8m,14°54,10.1,60000000,18396104.93,265.4321034,74.9597151
M99,99,NGC 4254,Spiral Galaxy,Coma Berenices,12h 18.8m,14°25,9.9,60000000,18396104.93,270.428355,75.189456
M100,100,NGC 4321,Spiral Galaxy,Coma Berenices,12h 22.9m,15°49,9.3,60000000,18396104.93,271.13575,76.898678
M101,101,NGC 5457 Pinwheel Galaxy,Spiral Galaxy,Ursa Major,14h 3.2m,54°21,7.9,27000000,8278247.22,102.037314,59.771671
M102,102,NGC 5866 Spindle Galaxy,Lenticular (S0) Galaxy,Draco,15h 6.5m,55°46,9.9,40000000,12264069.95,92.03483,52.48922
M103,103,NGC 581,Open Cluster,Cassiopeia,1h 33.2m,60°42,7.4,8000,2452.81,128.04874,-1.79647
M104,104,NGC 4594 Sombrero Galaxy,Spiral Galaxy,Virgo,12h 40m,-11°37,8,50000000,15330087.44,298.46054,51.1492933
M105,105,NGC 3379,Elliptical Galaxy,Leo,10h 47.8m,12°35,9.3,38000000,11650866.46,233.488477,57.63292
M106,106,NGC 4258,Spiral Galaxy,Canes Venatici,12h 19m,47°18,8.4,25000000,7665043.72,138.320213,68.842162
M107,107,NGC 6171,Globular Cluster,Ophiucus,16h 32.5m,-13°3,7.9,19600,6009.39,3.37351,23.010547
M108,108,NGC 3556,Spiral Galaxy,Ursa Major,11h 11.5m,55°40,10,45000000,13797078.7,148.316,56.25563
M109,109,NGC 3992,Spiral Galaxy,Ursa Major,11h 57.6m,53°23,9.8,55000000,16863096.19,140.090869,61.923341
M110,110,NGC 205 Satellite of M31,Elliptical Galaxy,Andromeda,0h 40.4m,41°41,8.5,2900000,889145.07,120.7163,-21.13362
